title,year
I Love Yoo,2017
Aoharu x Machinegun,2012
Homesick,2021
Avatar: The Last Airbender,2006
Sk8 Chill Out!,2021
Sora & Haena,2020
Lookism,2014
Tong - Part 3,2017
Miss Not-So Sidekick,2017
Cherry Magic! Thirty Years of Virginity Can Make You a Wizard?!,2018
Ouji-sama Nante Iranai - Specials,2020
Hana to Akuma,2007
Love★Com,2001
Princess Jellyfish,2008
Aria,2002
Shima-chan Chi no Tsugai Jijou,2021
The Villainess Turns the Hourglass (Novel),2017
My Dress-Up Darling,2018
Zettai BL ni Naru Sekai VS Zettai BL ni Naritakunai Otoko,2018
The Baby Raising a Devil (Novel),2019
Or Something Like It,2017
Burning Effect,2017
Monochrome Rumor,2021
Don’t You Like Me (Novel),2017
After the Curtain Call,2020
Last Game,2011
My Next Life as a Villainess: All Routes Lead to Doom!,2017
Dragon Ball,1984
Claymore,2001
Sweat and Soap,2018
Raise wa Tanin ga Ii,2017
The Royal Tutor,2013
Masters of Lightning Knives,2019
Koori no Mamono no Monogatari,1996
The Great Cleric,2017
Rosario + Vampire Season II,2007
JoJo's Bizarre Adventure Part 3: Stardust Crusaders,1989
"Wake Up, Sleeping Beauty",2014
Please Don’t Come To The Villainess’ Stationery Store,2022
Neon Genesis Evangelion,1994
"Tensei Shite High Elf ni Narimashita ga, Slow Life wa 120-nen de Akimashita",2021
Library Wars: Love & War,2007
Tokyo Ghoul:re,2014
The Art of Taming His Husband,2020
Higurashi When They Cry: Cotton Drifting Arc,2005
The Promised Neverland: Norman Kara no Tegami (Light Novel),2018
Tsuredure Children,2012
Jack: The American Ghost - Part 2,2015
Fangs,2019
D.Gray-Man,2004
The Rising of the Shield Hero (Light Novel),2013
Gangsta.,2011
Demon Apartment,2020
A Painter Behind the Curtain,2015
Rebirth of the Thief Who Roamed The World (Novel),2010
Majo to Kiketsu no Kishi,2016
Kengan Ashura,2012
Release that Witch (Novel),2016
Flirting with The Villain's Dad (Novel),2018
Silver Diamond,2003
Got A Room?,2020
Petit Mignon: Kemonohito Omegaverse,2017
Life Lessons with Uramichi Oniisan,2017
The Friendly Winter,2011
The Return of the Disaster-Class Hero,2021
Magi,2009
The Lazy Lord Masters the Sword,2021
Haikyuu-bu!!,2019
The Faraway Paladin,2017
Volcanic Age,2017
Houkago (Tomo OSHIMA),2018
xxxHOLiC: Rei,2013
Lala - Part 2,2019
Lone Wolf and Cub,1970
I Married the Male Lead's Dad,2020
Salt Friend,2020
Moon Land,2018
My Brother's Husband,2014
Spirit Circle,2012
Seraph of the End: Guren Ichinose - Catastrophe at Sixteen (Light Novel),2013
Genshin Impact,2018
Dandadan,2021
Forest of Piano,1998
Higurashi When They Cry: Atonement Arc,2006
Pheromone Shower: Omegaverse Short Stories - Specials,2019
Toilet-Bound Hanako-kun 0,2014
One Piece episode A,2020
Nekota no Koto ga Ki ni Natte Shikatanai.,2013
Kokou no Hito,2007
Fairy Tail,2006
Hinamatsuri,2010
Oh! My Assistant,2018
Whisper Me a Love Song,2019
Zaregoto (Light Novel),2002
Sleeping Ranker,2022
I’m Really Not the Devil’s Lackey (Novel),2020
Love Nest,2018
Sousei no Taiga,2017
Ao Haru Ride,2011
Drama Queens,2020
Colette wa Shinu Koto ni Shita,2013
Kamibukuro-kun wa Koishiteru,2020
Yumi's Cells,2015
Reborn!,2004
Murim Login,2020
Nano Machine (Novel),2017
