title,year
Aoba-kun no Secret Virgin,2021
Oshi to Nete Shimattan da ga?,2020
D-30,2022
Dear Ninita,2022
Top 1%,2021
Suteitoresu: Sonzai Naki-sha-tachi,2020
The Lord of Light and Shadow,2021
My Gentle Mr. Devil,2021
Kishikoku Saikyou Reijou ni Yoru Ken to Ken to Renai Jutsu,2021
Dean My Love,2018
My Fair Maid,2022
Absurdity,2020
Between the Sea of Clouds,2021
DOOOOM,2022
Fantasy of the Buried Beauty: Lihua & Liancheng,2021
If You Wish,2018
Zero One Daoist,2018
Lonely Castle in the Mirror (Novel),2017
Koigakubo-kun ni wa Hajimete wo Ubawaremashita,2021
Worst Gaiden: Sabu Roku Santa Meimonaki Karasu-tachi,2022
Moto Yuusha wa Shizuka ni Kurashitai,2022
Spirit Pet Creation Simulator,2022
Plaza,2019
My Dragon (Novel),2018
Mecha Slave Contract (Novel),2011
A Real Man Isn’t Afraid of a Little Demon (Novel),2021
After the Stand-in Shou Faked His Death (Novel),2021
Okazuri,2021
Shiryou Yuusha,2021
Tiresias Cage,2021
Aitsu no Kanojo,2021
Oishii Kaerimichi,2021
WORD / WORLD / BABEL,2021
Koudouryou no Seizana Hibi,2022
Belle and the Beast's Labor Contract,2021
Nanafushigi Haraenai,2021
You Are Extraordinary,2020
Onee-sama to Kyojin: Ojou-sama ga Isekai Tensei,2021
Setsuna no Yomeiri (Light Novel),2021
Legend: Ray no Isekai Gourmet Nikki (Light Novel),2021
Bishoujo to Burari Tabi (Light Novel),2021
Ore no Ki mo Shiranai de Akogare no Senpai ga Renai Soudan Shite Kuru (Light Novel),2021
Suki na Hito ga Baretara Shinu Love Comedy: Ore wo Suki ja Nai Hazu no Kanojo ga Zenryoku de Horesaseyou to Shite Kuru (Light Novel),2021
Kuro Hijiri no Kenshi: Teikoku no Saishuu Heiki to Kouri Kaminari no Majo (Light Novel),2021
Mugen Saisei no Chousoku Level Up: Hazure Sainou “Saisei” no Okage de Fujimi ni Narimashita (Light Novel),2021
Ningen Kirai no Tensei Shoujo wa Dragon no Yume wo Miru (Light Novel),2022
"Kyouto Gion Kimono Koi Monogatari: Machiya no Hana Café, Neko to Ikezu Danshi de Odemukae (Light Novel)",2022
Date a Live: Another Route (Light Novel),2022
Junpaku Reijou no Chouhouin (Light Novel),2022
Kanpeki na Sako-san wa Boku mitai ni Naritai (Light Novel),2022
"Konbini Goutou kara Tasuketa Jimi Tenin ga, Onaji Class no Ubude Kawaii Gal datta (Light Novel)",2022
Jakusha wa Useroyo: Tsuihou Sareta Dragon Tamer wa Ryuuou no Musume to Keiyakushi Saikyou Guild wo Tsukurimasu (Light Novel),2022
"Isekai de Pension Hajimemashita. Sekai de Yuiitsu no Kuro Majo desu ga, Kono Chikara wa Okyakusama no Tame ni Tsukaimasu. (Light Novel)",2022
"Isekai de Pension Hajimemashita. Sekai de Yuiitsu no Kuro Majo desu ga, Kono Chikara wa Okyakusama no Tame ni Tsukaimasu.",2021
"Gakeppuchi Shousetsuka, Hashiru! (Light Novel)",2022
Shinise Sakagura no Makanai-san: Shoka no Umeshu to Nana Rinyaki no Aburi Ika (Light Novel),2022
Kami Sarikoku Hishou: Nie no Hanayome to Rurou no Toganin (Light Novel),2022
Boku no Sekai wa Megami de Mawaru (Light Novel),2022
"Ore no Shoukanjuu, Shinderu (Light Novel)",2022
"Unmei de Musu Bareta Koibito...... no Azatoi Imouto to Issen wo Koeteshimau, Ano Hi made (Light Novel)",2022
"Utsugee Tensei. Shiritsu Kushita Galge ni Tensei Shita no de, Utsu Flag Hakai Shite Jiyuu ni Ikimasu (Light Novel)",2022
The Amber Kiss: The Melancholy of a Handsome Researcher (Light Novel),2017
"Gyakkou Shita Akuyaku Reijou wa, Naze ka Maryoku wo Ushinattanode Shinsou no Reijou ni Narimasu (Light Novel)",2020
Mythical Errand - Part 2,2019
Strong Female Side Character Awakens (Novel),2020
Forced to Date a Big Shot (Novel),2020
Esoragoto (nerunodaisuki),2013
Hataraku Kappa,2005
Half Fantasia,1998
Isourou Okotowari.,2009
My Feelings Can Wait,2021
"Miss, Something's Wrong With You",2022
What's Got Her Smiling Like That?,2019
Yamashii Koino Hajimekata 2,2019
Koi wa Inamono Komarimono,2020
Seisen Yuugi: Maou ga Shinde 100-nen Go,2021
The World's Best Escort Bureau,2021
Life Cry,2021
Life Cry (Novel),2018
"Tai Zi, Ni Hao Tian",2022
Log in Paris,2021
"Ie kara Nigedashitai Watashi ga, Ukkari Akogare no Daimahoutsukai-sama wo Katteshimattara",2021
Classroom of the Elite: Year 2,2021
Sword Art Online Re:Aincrad,2021
"Naka ga Waru Sugiru Osananajimi ga, Ore ga 5-nen Ijou Hamatte Iru FPS Game no Friend datta Ken ni Tsuite.",2021
I Suspect the System Likes Me,2021
The Great Master,2021
Cherry to Unicorn,2022
Boku no Barber e Yokoso,2019
Zaako Zako Zako Zako Sensei,2021
The Courier Has Arrived,2021
Tsuihou Sareta Tenshou Juu Kishi wa Game Chishiki de Musou Suru,2022
Starting After Thousandth Rebirth,2021
Karakuri Pierrot (Light Novel),2017
"After All, I Became a Crow (Novel)",2019
Young Emperor's Story,2020
You Will Love,2019
Shitsuren Onna no Yomeiri,2021
Green Light for Romance,2021
"Adios, April",2017
Office Marriage After Parting,2021
HOME FIVE,2022
Shanshan Faguang De Ni,2021
Love Me Do (17K Novel Network),2021
Accompanied by a Fool To Do Farming (Novel),2015
Kimi e Musubu Happy End,2019
Le Petit Prince,2021
The Definition of a Top Star,2022
Mochizuki-san ka no Yankee,2019
Mebius World Online: Game Shoshinsha no Mari-nee ga Iku VRMMO Nonbiri? Taikenki,2021
Bloodhounds,2019
The Demon King Wants to be Friends with Me,2020
Love SOS (Team 5D),2018
Extreme Gardener,2021
The Worst Guy in the Universe,2021
Higurashi When They Cry: Oni,2022
Scramble Star,2014
Tetsugaku-san to Kiben-kun,2015
Silver Jewel,2021
Miss Succubus Wants to Find Love,2020
Taishou Hatsukoi Yousaiten,2015
Ikebo Cat,2021
Sounds Like Roses,2022
Newlyweds in Charge of Infrastructure,2021
Fukasoku Sunny,2021
Cathexis,2012
Aggressive Retsuko: Stress Bakuhatsu Shougakusei-hen,2020
Triduum Pawnshop,2019
Money + Magnets,2019
Viscount Dracula's First Embrace,2020
Tamako-sama no Okinimesu Mama,2021
Danchoutei Nichijou,2021
Strange Love Story,2019
Mazuwa Oishii Gohan wo Tabeyou,2017
10-nenkan Tomodachi da to Omotteta Otokonoko ni Kokuhakusareru Ohanashi,2021
Yakimochi Holic,2017
Happy Parasite,2021
God of Knowledge,2021
Magical Youth Nishida,2012
The Sickly Beauty Substitute Called It Quits (Novel),2021
Holliday,2019
Love Is On The Air,2021
I Can Do What I Want Because I’m Handsome,2021
Futari Switch,2022
"Mikazuki yo, Kaibutsu to Odore",2022
Kinshirou no Tsuma desu ga,2022
Nisemono ni Koishita Mahoutsukai,2022
Oshikake Ouji wa 2-do Oishii,2021
Rakka Ryuusui: Touhou Project Suichuu Hanabi Sakuhinshuu,2015
The Daily Lives of 22 and 33,2020
Double Prince,2017
Craftsman,2019
Endless Dream,2019
Lemon Lightning,2021
Tonight's Menu: Magical Beasts!,2019
Hidden Road of the Netherworld,2019
Twilight Sisters,2020
Kono Ippai wa Tenshi no Toribun,2022
Bad Memories,2021
Pei Bao,2021
This Princess Consort Is a Man,2021
The Unstoppable Hellbreaker,2021
Isekai Kaeri no Ossan wa Shuumatsu Sekai de Musou Suru,2021
The Queen of Avalon,2021
My Friend's on Death Row?!,2019
How a Time-Limited Villainess Gets Revenge,2022
Genji,1988
Ore ni mo Aitsu ni mo Tsugeranaide kure,2022
Doppel-san,2020
Isekai Souzou no Susume: Smartphone App de Wakusei wo Tsukutte Shimatta Ore wa Kami to Nari Sekai wo Meguru,2021
Payday (Novel),2012
Comic Swedenborg no Daireikai,1990
Stray Dog (2018),2016
Chaos;HEAd Official Anthology Comics Mousou Bousou-hen,2009
I Will Take Responsibility for the Welfare of the Male Lead (Novel),2020
King of the Gang,2022
Ensemble Stars! Ready for Star,2019
Otto wa Watashi ni Mainichi Maiban Oboretai,2020
Fuga: Melodies of Steel,2021
An Ode to Youth,2021
Borderlight,2020
Fuun kara no Saikyou Otoko,2021
The Turning Point of Sura: Birth of the Malice,2022
Put the Trash to Where It Belongs!,2022
The Beginning of Journey,2020
Becoming the Treasured Pet of 5 Big Shots,2022
"Without a Daoist Partner, I Will Die",2022
The Ultimate God of War,2022
"Kyuuketsu Doutei, Chichi wo Suu.",2021
Yandere Apprentices All Want to Push Me Over,2022
Bad Romance Freak Show,2020
Magica Technica: Gendai Saikyou Kenshi ga Seiku VRMMO Sengata Naroku,2021
Fated Pleasure: Alpha & Omega,2021
Villain Derby,2021
Apocalyptic Forecast (Novel),2021
Heya no Soto dewa Dareka ga Waraiatteiru,2015
"Divine Physician, Overbearing Wife: State Preceptor, Your Wife Has Fled Again! (Novel)",2020
No. 63 Pompeii Street,2020
Chong Hou Xin Tou You Ge Quan Chen Bai Yue Guang,2021
Stringy Wind in the Ear,2022
I Want to Be Your Girl,2021
I Was Possessed by Your Ex-Boyfriend,2021
Ijigen Deadline,2020
Hunter Jack,2022
Tokyo Train,2013
Merit Aikyuu God,2022
Otonoba,2014
Misojibyou no Uta,2021
Kisou Tengaku,1991
Houkago no Kemono-tachi,2021
Get Ready?,2019
The Devotion of Suspect X (Novel),2005
Salvation of a Saint (Novel),2008
A Midsummer's Equation (Novel),2011
Silent Parade (Novel),2018
Saikyou Fuhai no Shinken Zukai,2021
Kotonaru Sekai no Shoujotachi,2021
Ani to Imouto no Shitai Shitai Shitai Koto,2021
I Became an Idol to Cultivate Immortality,2018
Succubus to Hajimeru Shinkenkousai,2022
Love Me Tender ni Sayounara,2021
Dual Mound,2021
"Your Royal Highness, Your Vest Is off Again",2021
Pretty Guy,2021
Henjin Tantei Emu,2010
Tengu Barai no Sankyoudai,2021
Konyaku Haki no Akui wa Shoukan kara Okaeshi Shimasu,2021
The Devil Eats Love,2018
Ni Jiu,2021
I Want to Be in Love With a Game Addict!,2021
Love Irresponsibly,2021
"Konno-kun, Continued",2021
Akumu no Kanransha,2012
Devil’s Warmth (Novel),2019
My Teacher is a Porn Star,2017
The Quest for the Cloud Scroll,2018
Malice (Novel),1996
Newcomer (Novel),2009
Under the Midnight Sun (Novel),1997
Defects,2022
Nevermore (Kit TRACE),2022
Bounce Back,2021
Webmaster in the End of the World,2021
Sleeping In My Book,2021
Oni no Shokuji wa Mendokusai,2021
Unemployment Evaluation of Blood Race Killer's Demonic War,2022
Hagane to Wakaba,2021
B-Class Guide,2021
Little Mushroom,2022
Demons Star,2021
Migawari-hime to Norowareshi Kenja (Light Novel),2018
I'm a Single Mother in a Fake Marriage,2020
Ayakashi Meoto Roman,2022
Kidou Senshi Gundam: Burai,2019
Psychopath Hero,2021
"Master Gu, Your Wife Is Too Good at Fighting!",2021
Looking for a Fisherman,2018
Tensei Reijou ga Kokuou Heika ni Dekiaisareru Tatta Hitotsu no Wake: eterna,2021
Pregnant By The Commanding Greek,2021
The Billionaire's Marriage Bargain,2021
Passionate Possession,2020
Something Missing,2019
Memo: Marry Me?,2021
The Italian Single Dad,2016
The Boss's Convenient Bride,nan
"Passionate Chef, Ice Queen Boss",2017
16-sai nano de Kekkonshimasu!!,2016
Restless (Ka Bi Qiu),2020
Her Nickname is...,2021
"Short Stories, Big Secrets",2021
Finding M,2018
Shinkonshoya ni wa Himitsu ga Aru.,2016
No Way Out,2021
In the Sunshower,2021
Shotgun Divorce: I’ll Get Pregnant and Out of Your Life As Soon as Possible!,2021
The Imperial Concubine Just Wants To Be a Salted Fish Every Day (Novel),2019
"Zeitakuzanmai Shitai no desu! Tenseishita no ni Binbou nante Yurusenai node, Mahou de Ryouchi Kaikaku",2022
The Imperial Concubine Just Wants To Be a Salted Fish Every Day,2021
Head Start at Birth,2020
Haru Made no Kyori,2019
The Demon Prince Goes to the Academy (Novel),2021
You're Mine,2010
graphite,2015
The Legend of Heroes IV: A Tear of Vermillion - Anthology Comic,2005
Nayuta no Kiseki (Light Novel),2013
The Legend of Heroes III: Prophecy of the Moonlight Witch - Anthology Comic,2005
The Legend of Heroes: Trails of Cold Steel - Mental Cross Link (Light Novel),2015
The Legend of Heroes: Ao no Kiseki - Short Stories (Light Novel),2015
The Legend of Heroes: Ao no Kiseki - Itsuka Anata to Ochakai wo (Light Novel),2014
Persona: Trinity Soul (Novel),2008
The Legend of Heroes: Trails in the Sky (Light Novel),2014
The Legend of Heroes: Trails in the Sky - Liberl Kingdom Snapshot (Light Novel),2015
Transit,2013
Doomsday Cleaning,2021
Astronaut Neko,2019
Atomic no Obon,1947
Teito Monogatari,1987
Teito Monogatari: Tokio Wars,1989
Puusan,1965
Did the Top Student Get a Cutie Today? (Novel),2020
"Kiwameta Heel ga Subete wo Iyasu! Mura de Muyou ni Natta Boku wa, Hirotta Gomi wo Geki Rare Item ni Shuuzenshite Nariagaru!",2021
Oresama Dom wa Naderaretai,2021
Between Us - Part 2,2017
Between Us - Part 3,2020
Kokoro ga Danshi Shougakusei.,2021
The Corner of the Schoolhouse,2004
Akenai Yoru no Sugoshi Kata,2016
Shinu Toki wa Mabayuku,2018
Hanakui,2018
Tegami Watari no Sakana,2018
Nii-san no Tomodachi,2016
Meika no Mechanism,2017
Tantei Chuudoku,2016
Goddess Conquest,2022
SwallowTail,2019
Asami-kun wa Gachi Koi ja nai!,2017
"Take Me In, My Lord!",2020
Hello Baby! (Komeko),2017
What if My Brother is Too Good? (Novel),2017
Always By Your Side (Novel),2015
"Cry, Even Better If You Beg (Novel)",2019
Shoushitsu Halation,2014
Never Saved You (Novel),2021
Yiqie Cong Wo Chengwei Lu Ding Kaishi,2021
Maomi Bie Tian Wo,2022
Don't Be Nice,2022
Shi Qiang Ling Qiang,2022
After I Left You,2022
The Villainess Is Worshipped by the Family (Novel),2019
Warring States Martial Academy,2014
So You Want to Live the Slow Life? A Guide to Life in the Beastly Wilds (Light Novel),2022
After-Shoot Snack,2020
Muttsuri Senpai to Hakoiri Sugar,2017
Himekoi (Bond MITSUYA),2018
Picked Up By A Sly Man,2021
Two Lonely Loves,2020
"Wife, Please Enjoy",2022
Night of Shadows,2022
Psychociety,2022
Physician Return,2021
Say Goodbye With a Smile,2019
A Drunken Frenzy,2018
Karasu Otoko ni Kiotsukete,2018
My Salted Fish Was Released,2021
Koushaku Chakunan Koushoku Monogatari: Isekai Harem Eiyuu Senki,2021
Nonoko-san no Kanojo-kun♂,2020
Mike-chan to Kuro-sensei,2017
Severed Head,2019
Ni Jiu (Novel),2020
How To Raise A Cross Dressing Master,2019
Yaotome x 2,2022
Hoshi wo Taguru (Light Novel),2015
I Can't Stand That Senior Guy,2019
"Don't Come Near Me, Don't Touch Me, Just Hold Me",2016
Famicom Cap,1986
Ninja Box,2019
Shougeki on Air!! Ryuusei no Rockman,2006
Hankon,2020
Soretomo Time Leap ni Suru?,2020
Hajimari no Mahoutsukai,2022
The Evil Young Master's Rules of Survival,2021
Dungeon Busters: Chuunen Otoko desu ga Niwa ni Dungeon ga Shutsugen shita node Sekai wo Sukuimasu,2022
The Ace Undercover of Southern Song,2019
Taishuu Sakaba Wakao: Wakako-zake Betten,2019
"Inma Tsuihou: Hentai Gift wo Sazukatta Sei de Outo wo Owareru mo, Onnanoko to ""Nakayoku"" suru dake de Chouzetsu Level Up (Light Novel)",2022
Tsumugu to Koi ni Naru Futari,2021
Hareru Unicorn (Light Novel),2013
Kaguya-hime no Kakushigoto,2019
Tsugunai Mahou Shoujo Carenza,2021
Accidentally Became a God,2021
Uchi Kyaba: Oie de Kyabakura Shite Niichan wo Onnanoko ni Nare Saseyou Dai Sakusen,2021
Koi wa Shallow Focus,2022
Asa Okitara Onnanoko ni Natteita Danshi Koukousei-tachi no Hanashi,2021
Oitekebori no Hitoribocchi,2022
Good Morning Leon,2021
Onshuu no Replica,2021
Kemutai Hanashi,2021
Meshimazu Musou Online: Yamamori Debuff wo Meshiagare,2021
"Pollyanna: ""Mother"" Official Comic",2020
"Risei wo Sutete, Doukei wo Idaku.",2021
Chain Rencer,2021
Black Channel,2020
Bakututsuri Hunters,2019
Akuma ni Kokoro mo Karada mo (Onaka mo!?) Tsukamaremashita,2021
The Choice,2020
Bakutsuri Bar Hunter,2018
Sosias,2021
Mirror Game,2019
"After Rebirth, I Become Popular in the Entertainment Industry (Novel)",2020
Villain in the Kindergarten (Novel),2020
Apocalypse Lord (Novel),2020
Lampo,1996
I Am Rich (Novel),2020
Reborn As the Ex-wife of the Paranoid Male Lead (Novel),2020
Kimagure Walpurgis,2021
Madou Tenshi Unpoko,1997
Sukebo Rocky,1987
Famicom Rocky,1985
"Tonari no Kuuderella wo Amayakashitara, Uchi no Aikagi wo Watasu Koto ni Natta (Light Novel)",2020
Appare Megabaka Boys,2000
Amaizo! Dango,1986
Taiyou Inu Zero,1985
Her Peculiar Visitor,2021
Alucard-kun,2002
Takuhai Bin-chan,1999
"Shounen yo, Daichi wo Idake! Doronko 7",2006
Monjirou ga Yuku!,1992
Tekkon!! Zoids Kakutougi,2003
"Souzou Renkinjutsushi wa Jiyuu wo Ouka Suru: Kokyou wo Tsuihou Saretara, Maou no Ohizamoto de Chouzetsu Kouka no Magic Item Zukuri Houdai ni Narimashita",2021
Pocket Monsters HG SS: Jou no Daibouken,2009
Pazudora Z,2013
Pazudora,2018
Uzu Majin,2007
Zoids Wild 2+,2020
Love is Found 2 Meters Underground,2020
"Ryuu to Ayumu Nariagari Boukensha-dou: Youzumi toshite S-Rank Party kara Tsuihou Sareta Kaifuku Majutsushi, Suterareta Saki de Saikyou no Shinryuu wo Fukkatsu Sasete Shimau",2021
"Ryuu to Ayumu Nariagari Boukensha-dou: Youzumi toshite S-Rank Party kara Tsuihou Sareta Kaifuku Majutsushi, Suterareta Saki de Saikyou no Shinryuu wo Fukkatsu Sasete Shimau (Light Novel)",2020
Mushoku Tensei: Eris wa Honki de Kiba wo Togu,2022
Prince Hero,2021
The End of Unrequited Love,2022
Ryuuku Ai Utsu,2018
Zombie Ship,2018
Two Knights and their First Love,2020
21st Century Knights,2022
The Last Dimension,2022
Ue Cup Shita Cup,2022
Yuze's Record of Mountains and Seas,2022
Zatch Bell! 2,2022
Push-off,2021
Snow Leopard Likes to Bite It's Tail,2021
He And His Dating Style,2013
My Wife Is the Union Leader of Martial Arts Circles,2022
Sugoi Toshinosa Fuufu no Hanashi,2021
Snow Leopard Likes to Bite It's Tail (Novel),2019
Boku to Koi no Hanashi wo Shinaika,2021
"After Transmigrating Into an Omega, I Was Marked by the Enemy (Novel)",2020
Redbird,2021
Night of Love,2001
Luke,2020
The Valdez Marriage,2021
With a Little T.L.C.,2016
Koi no Ajitsuke,2002
Christmas to Osananajimi,2001
His Darling Valentine,2014
Cinderella no Touhikou,2021
The Millionaire's Prospective Wife,2017
The Inconveniently Engaged Prince,2021
Cinderella In The Sicilian's World,2021
Kodanuki to Ryoushu-sama no Monogatari: Megami-sama no Owasu Kuni (Light Novel),2022
The Stripper's Raunchy Antic,2018
GO! GO! Lookie-Lou,2009
The Table,2015
The Table - Season 2,2016
Tomb Raider's Note Reunion,2018
Master and Her Seven Lovers,2021
30 Days to Be Famous,2021
The Rebirth of the Last Days and Return to Fang Hao (Novel),2021
Kuroneko to Majo no Kyoushitsu,2022
Konyaku Hakisareta no ni Moto Konyakusha no Kekkonshiki ni Shoutai Saremashita. Kotowarenai node Ani no Yuujin ni Doukoushite Moraimasu. (Light Novel),2022
God's ID Card,2022
Gochisou-sama ga Kikoenai!,2021
My Senior Brother Is Too Steady,2021
Star Lord of God and Dragon,2021
After Transmigrating Into a Villain Cannon Fodder Male Zerg (Novel),2021
This Male Was Forced To Support His Family (Novel),2021
Savage Beauty,2019
Zoids Battle Card Senshi Commander Teru,2000
Kaze no Racer Otokogi,1993
Wa~o! Ken-chan,1991
Strategies of the Newly-wed Princess - Part 2,2021
Kaiki Keisatsu Psy-Police,1992
Robokko Beeton,1976
Bikkuriman,1987
Konjiki no Gash Bell!!,2003
Mega Rosalia,2021
Kaku mo Suteki na Numinöse,2022
Keshikasu-kun,2004
Ginrin Voice,2021
Charikko,2022
Kawaisugiru Hito yo!,2022
Kimi ni Noroi Theme,2022
Chibikasu-kun,2016
Chinjuu no Oisha-san,2022
Taigan no Mel: Yuumei Tantei Chousa File,2022
Usuzumi no Hate,2022
Atsumare Doubutsu no Mori: Tokoton! Ichiban Shima,2020
Maison de Mosaïque,2022
Suisenzuki no Yokka: Yukiwarashi Neko,2021
My Queen Untouchable,2021
It's Hard Getting Married to A Prince,2019
Soul Hunter: Ghost Chronicles,2020
"Miss, It's Really Not What You Think",2020
The Tyrannical Girl's Sadistic Prince,2019
Dawnlight Records,2019
My Imperial Physician,2018
18 Going On 25,2021
Datsugoku Gokko,2021
You Are My Romantic Destiny,2020
Karameru,2021
The Dices Can't Decide My Destiny!,2021
The Beloved Yin Yang Consort,2020
Battleground Unknown,2019
Kashi Battle,2022
The Amazing Doctor in the City,2017
Duel Masters King,2020
Residents of District 37,2019
Deka Sugi Dekka-kun,2020
Muteki,2021
I Don’t Want This Reincarnation (Novel),2018
Devil’s Political Marriage (Novel),2013
I Asked Out the Wrong Guy,2016
Mob dakedo Oshi ga Ikiterukara Mainichi ga Tanoshii (Light Novel),2020
Serial Justice,2017
Aisaseteyo Sensei,2021
My Sister Is Out to Destroy the World,2020
Nanto! Dangerous Jii-san,2017
Manga de! Nyanko Daisensou,2018
Chou Soku Henkei Gyrozetter,2011
Try Crying Prettier,2022
Reality Lover,2021
"Enman Rikonsuru Hazu ga, Teiou to Yobareru Danna-sama wo Yuuwakushitara Hiru mo Yoru mo Aisaretemasu (Novel)",2022
Atagoul Monogatari,1976
Atagoul,1994
Atagoul Tamatebako,1984
"Otogibanashi mo Raku ja Nai! Tenseishite Ima wa Majo dakedo, Akuyaku dewa Arimasen (Light Novel)",2022
"Konna Kawaii Iinazuke ga Iru noni, Hoka no Ko ga Suki nano? (Light Novel)",2021
Sentou to Vampire,2021
Ichiya Kagirija Owarenai,2021
"Paradox Live Stage Battle ""COMIC""",2022
Osananajimi to Irekawatta Ore wa Sukihoudai suru (Light Novel),2013
Kekkaishi no Ichirinka,2022
Kekkaishi no Ichirinka (Novel),2021
The Man With Pretty Lips,2022
I Got Marked By My Shadow Guard After Pretending To Be An Alpha (Novel),2020
Tsuyokute New Game na LoveCom,2021
Service Creed: Our Resolution,2021
Unlikely Affair,2021
Arpeggio on Sea Surface,2022
The Imperial Woman Can't Take It Anymore!,2021
Escape Room - Part 4,2022
Carrying a Hoe to Cultivate (Novel),2019
"Youkoso ""Tsuihousha Guild"" e: Munou na S-Rank Party ga Dondon Yuunou na Boukensha wo Tsuihou suru node, Saijaku wo Atsumete Saikyou Guild wo Tsukurimasu (Light Novel)",2021
Puniru wa Kawaii Slime,2022
Toshi Densetsu-sensei Uramon,2022
Tenseiken Leo,2022
Hen na Manga Retsuden,2022
Duel Masters G,2022
When a Thousand Moons Rise,2021
Demon King's Rules x Witch's Covenant,2020
Miss Lover Tamer,2020
A Heart-Captivating Smile,2020
The Princess’ Smile: The Body-Double Bride Searches for Happiness with the Reclusive Prince (Light Novel),2020
Side Story (Novel),2018
Hell’s Handbook (Novel),2016
Follow the Wind,2019
The Virgin Bride,2019
The Princess Bride,2019
The Bride's Portion,2019
"Okuchi ga Ecchi na Jakuten Datte, Rival no Elite Douryou ni Barete Shimaimashita",2021
Can You Stand By Yourself?,2021
Tit for Tat,2022
Hunting Game (Papa Gongzuoshi),2022
Pursued by the Desert Prince,2019
Kenshin to Matai no Musuko wa Date janai,2021
Ode to Our Youth,2011
Kagakubu no Megane,2014
Phantom Bullet,2000
Blackened Big Shot Domestication Guide,2022
Tondari Hanetari,2016
The Sweet Ace,2021
Cooking in Summer,2018
D-Genesis: Three Years after the Dungeons Appeared (Light Novel),2020
The Portrait of A and B,2019
No Reason,2021
Future Break Point,2019
Beware of the Full Moon in March,2022
Hwadae,2021
"Kakuriyo Shinjuuki: Isekai de, Kamisama no Oishasan Hajimemasu. (Light Novel)",2020
Saenai Boku ga Kimi no Heya de Shiteiru Koto wo Classmate wa daremo Shiranai (Light Novel),2022
Ore dake wa Matomo-kun,2021
Gyakushuu Spy x Caliber,2021
Unmei no Makimodoshi,2022
Hoshi Furu Yoru ni Nattara (Light Novel),2020
Tenkyuu no Harmonia,2022
Golden Raspberry,2020
Shiro Bara wa Karete mo Nao Kanbashiku,2022
Jinghun Ershiba Ye,2022
Dahua Jianghu Lu,2022
Marrying The Elites,2021
You’re Mine (Jumaogege),2021
Saenai Boku ga Kimi no Heya de Shiteiru Koto wo Classmate wa daremo Shiranai,2022
Taming The Consort,2019
There’s a Teleportation Circle in My Basement!,2017
Night Smoke,2022
Switch (Ji-Dong),2021
Choose Your Heroes Carefully,2022
Fate (Gwendolyn),2021
Weather Forecast Love,2021
The Color of the Night (Novel),2019
Our Righteous Romance,2019
The Masquerade,2019
Psycho+,1992
Rokunin no Eve to Kamigoroshi no Shito (Light Novel),2013
Nanatsusa,2007
Nehushtania-sama no Eien ja Nai Hibi (Light Novel),2012
Flavors of Reincarnation,2021
The Crimson Blade,2021
Don't Be Soft Rice Man,2021
Don't Be Soft Rice Man (Novel),2019
Knowing You,2021
Peek,2019
My Heart That Beats For You,2020
Good Killer,2016
A Fox Girl Fell From The Sky,2019
My MMO Wife Is a Cultivator,2019
Grave of Swords,2021
Heroes Plan.B,2014
Thorns of Innocence,2022
Return Like a Tidal Wave,2018
The Devil’s Sweetheart,2019
Kawaii Sekai Seifuku,2022
I'm a Hero in the Cultivation Realm!,2021
School Spooks,2019
Falling for a Parody Content Creator (Novel),2019
From Maid to Queen (Novel),2017
1-2-3 to 4-5-Roku,1962
POP UP!,2021
Ashi Ato: Chiba Tetsuya Tsuisou Tanpenshuu,2021
Theory of Paradise,2022
Zombie Land Saga ANTHOLOGY,2021
Bad Trip,2022
The Best Immortal Hero Academy,2019
Lord El-Melloi II-sei no Bouken (Light Novel),2020
Peculiar Tales of Swords and Blades,2019
Beast Complex: Kurohyou to Rakko,2021
Kono Kimochi mo Itsuka Wasureru (Novel),2020
Watashi yori Tsuyoi Otoko to Kekkonshitai no: Seiso na Bijin Seitokaichou (Jitsu wa Moto Banchou) no Himitsu wo Shiru Inkya (Jitsu wa Kanojo wo Koeru Saikyou no Yankee) (Light Novel),2022
"Hokenshitsu no Otona na Senpai, Ore no Mae dewa Sugu Dereru (Light Novel)",2022
Kyou kara Akujo ni Narimasu! Tsukaisute no Migawari Seijo Nante Gomen desu (Light Novel),2022
Gokusen Bangaichi,2005
Black Lagoon Eda: Initial Stage,2022
"White Lilies in Love: Watashi ga Yoishireru no wa, Natsu no Hizashi to Anata dake. - Shakaijin Yuri Anthology",2019
The Italian's Christmas Secret,2020
Contracted: A Wife for The Bedroom,2014
Mejaz: Regulus in the World - Part 2,2022
"Dame Skill [Auto Mode] ga Kakuseishimashita: Are, Guild no Scout no Mina-san, Ore wo ""Iranai"" tte Ittemasen deshita?",2021
"Dame Skill [Auto Mode] ga Kakuseishimashita: Are, Guild no Scout no Mina-san, Ore wo ""Iranai"" tte Ittemasen deshita? (Light Novel)",2021
"Heika, Kokoro no Koe ga Dadamore desu! (Light Novel)",2021
Her Secret Children,2021
Did You Say... Wife?,2007
Dr. Charming,2012
The Necklace of Memories,2019
The Jewels of Destiny,2019
The Treasured Dagger of Promise,2019
A Ring To Claim His Legacy,2020
Cinderella e no Kagi,2020
Skin Deep,2018
To Blackmail A Di Sione,2020
A Very Special Proposal,2016
Sleeping With a Stranger,2014
Boss wa Ijiwaru,2018
Gentle Deception,2018
Innocent 'Til Proven Otherwise,2016
